RNTI,nRxPDUs,delay,min,max,PduSize,nTxPDUs,RxBytes,stdDev.1,amplitude
1,24.838843,0.000638,0.000633,0.000712,1047.330579,24.793388,26221.148760,0.0,0.000064
2,24.785124,0.000653,0.000651,0.000690,1047.330579,24.793388,26164.421488,0.0,0.000017
3,24.785124,0.000670,0.000669,0.000708,1047.330579,24.793388,26164.421488,0.0,0.000017
4,24.929752,0.000694,0.000672,0.000787,1047.330579,24.793388,26317.148760,0.0,0.000101
5,24.785124,0.000704,0.000689,0.000704,1047.330579,24.793388,26164.421488,0.0,0.000006
6,24.785124,0.000739,0.000725,0.000740,1047.330579,24.793388,26164.421488,0.0,0.000018
7,24.785124,0.000757,0.000743,0.000757,1047.330579,24.793388,26164.421488,0.0,0.000018
8,24.785124,0.000775,0.000760,0.000775,1047.330579,24.793388,26164.421488,0.0,0.000018
9,24.785124,0.000792,0.000778,0.000793,1047.330579,24.793388,26164.421488,0.0,0.000018
10,24.785124,0.000810,0.000796,0.000811,1047.330579,24.793388,26164.421488,0.0,0.000018
