% start,delay
0,0.000635713
0,0
0,0.000635713
0.25,0.000635713
0.5,0.000694092
0.75,0.000635713
1,0.000635713
1.25,0.000635713
1.5,0.000635713
1.75,0.000635713
2,0.000635713
2.25,0.000635713
2.5,0.000635713
2.75,0.000635713
3,0.000694092
3.25,0.000635713
3.5,0.000635713
3.75,0.000635713
4,0.000635713
4.25,0.000635713
4.5,0.000635713
4.75,0.000635713
5,0.000635713
5.25,0.000635713
5.5,0.000635713
5.75,0.000635713
6,0.000635713
6.25,0.000635713
6.5,0.000635713
6.75,0.000635713
7,0.000635713
7.25,0.000694092
7.5,0.000635713
7.75,0.000635713
8,0.000635713
8.25,0.000635713
8.5,0.000635713
8.75,0.000635713
9,0.000635713
9.25,0.000635713
9.5,0.000635713
9.75,0.000635713
10,0.000635713
10.25,0.000635713
10.5,0.000635713
10.75,0.000694092
11,0.000635713
11.25,0.000635713
11.5,0.000635713
11.75,0.000694092
12,0.000635713
12.25,0.000635713
12.5,0.000635713
12.75,0.000635713
13,0.000635713
13.25,0.000694092
13.5,0.000635713
13.75,0.000635713
14,0.000635713
14.25,0.000635713
14.5,0.000635713
14.75,0.000635713
15,0.000635713
15.25,0.000635713
15.5,0.000694092
15.75,0.000635713
16,0.000635713
16.25,0.000635713
16.5,0.000694092
16.75,0.000694092
17,0.000635713
17.25,0.000635713
17.5,0.000635713
17.75,0.000635713
18,0.000635713
18.25,0.000635713
18.5,0.000635713
18.75,0.000635713
19,0.000635713
19.25,0.000635713
19.5,0.000635713
19.75,0.000635713
20,0.000635713
20.25,0.000635713
20.5,0.000635713
20.75,0.000694092
21,0.000635713
21.25,0.000635713
21.5,0.000635713
21.75,0.000635713
22,0.000635713
22.25,0.000635713
22.5,0.000635713
22.75,0.000635713
23,0.000635713
23.25,0.000635713
23.5,0.000635713
23.75,0.000694092
24,0.000635713
24.25,0.000694092
24.5,0.000635713
24.75,0.000635713
25,0.000635713
25.25,0.000635713
25.5,0.000635713
25.75,0.000694092
26,0.000635713
26.25,0.000635713
26.5,0.000635713
26.75,0.000694092
27,0.000635713
27.25,0.000635713
27.5,0.000635713
27.75,0.000635713
28,0.000635713
28.25,0.000635713
28.5,0.000694092
28.75,0.000635713
29,0.000635713
29.25,0.000635713
29.5,0.000635713
29.75,0.000635713
30,0.000635713
30.25,0.000635713
30.5,0.000748147
30.75,0.000635713
31,0.000694092
31.25,0.000635713
31.5,0.000694092
31.75,0.000635713
32,0.000635713
32.25,0.000635713
32.5,0.000635713
32.75,0.000635713
33,0.000635713
33.25,0.000635713
33.5,0.000694092
33.75,0.000635713
34,0.000635713
34.25,0.000635713
34.5,0.000635713
34.75,0.000635713
35,0.000635713
35.25,0.000635713
35.5,0.000635713
35.75,0.000635713
36,0.000635713
36.25,0.000635713
36.5,0.000635713
36.75,0.000635713
37,0.000635713
37.25,0.000635713
37.5,0.000635713
37.75,0.000635713
38,0.000635713
38.25,0.000635713
38.5,0.000635713
38.75,0.000635713
39,0.000635713
39.25,0.000694092
39.5,0.000694092
39.75,0.000635713
40,0.000635713
40.25,0.000635713
40.5,0.000635713
40.75,0.000694092
41,0.000635713
41.25,0.000635713
41.5,0.000635713
41.75,0.000635713
42,0.000635713
42.25,0.000635713
42.5,0.000635713
42.75,0.000694092
43,0.000635713
43.25,0.000635713
43.5,0.000635713
43.75,0.000635713
44,0.000694092
44.25,0.000635713
44.5,0.000635713
44.75,0.000635713
45,0.000635713
45.25,0.000635713
45.5,0.000635713
45.75,0.000635713
46,0.000635713
46.25,0.000798341
46.5,0.000635713
46.75,0.000635713
47,0.000635713
47.25,0.000635713
47.5,0.000635713
47.75,0.000635713
48,0.000635713
48.25,0.000635713
48.5,0.000635713
48.75,0.000635713
49,0.000635713
49.25,0.000635713
49.5,0.000635713
49.75,0.000635713
50,0.000635713
50.25,0.000635713
50.5,0.000635713
50.75,0.000635713
51,0.000635713
51.25,0.000635713
51.5,0.000635713
51.75,0.000635713
52,0.000635713
52.25,0.000694092
52.5,0.000798341
52.75,0.000635713
53,0.000635713
53.25,0.000635713
53.5,0.000635713
53.75,0.000635713
54,0.000635713
54.25,0.000635713
54.5,0.000635713
54.75,0.000635713
55,0.000635713
55.25,0.000635713
55.5,0.000635713
55.75,0.000694092
56,0.000635713
56.25,0.000694092
56.5,0.000635713
56.75,0.000635713
57,0.000635713
57.25,0.000635713
57.5,0.000635713
57.75,0.000635713
58,0.000635713
58.25,0.000635713
58.5,0.000635713
58.75,0.000635713
59,0.000635713
59.25,0.000635713
59.5,0.000635713
59.75,0.000635713
